"country_code","country_name","track_id","track_name","popularity","album_id","album_name"
"AR","Argentina","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AR","Argentina","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AR","Argentina","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AR","Argentina","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AR","Argentina","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AR","Argentina","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AR","Argentina","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AR","Argentina","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AR","Argentina","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AR","Argentina","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"AT","Austria","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AT","Austria","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AT","Austria","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AT","Austria","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AT","Austria","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AT","Austria","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AT","Austria","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AT","Austria","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AT","Austria","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AT","Austria","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"AU","Australia","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AU","Australia","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AU","Australia","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AU","Australia","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AU","Australia","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AU","Australia","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AU","Australia","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AU","Australia","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"AU","Australia","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"AU","Australia","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"BE","Belgium","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BE","Belgium","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BE","Belgium","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BE","Belgium","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BE","Belgium","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BE","Belgium","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BE","Belgium","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BE","Belgium","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"BE","Belgium","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"BE","Belgium","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
